"exercise_label","features"
"Lateral Raise","{""leftHipAngle"": 168.52135343551734, ""leftKneeAngle"": 160.77739790773677, ""rightHipAngle"": 158.86156734671442, ""leftElbowAngle"": 157.17993898430757, ""rightKneeAngle"": 179.55398413878336, ""rightElbowAngle"": 156.10053171844933, ""leftShoulderAngle"": 14.465700394529575, ""rightShoulderAngle"": 54.23050213175529}"
"Lateral Raise","{""leftHipAngle"": 165.94121782180184, ""leftKneeAngle"": 163.61526012098705, ""rightHipAngle"": 164.31454422554836, ""leftElbowAngle"": 158.674637880325, ""rightKneeAngle"": 171.32081195150363, ""rightElbowAngle"": 173.26719972141117, ""leftShoulderAngle"": 14.525226546368078, ""rightShoulderAngle"": 41.26399944917402}"
"Lateral Raise","{""leftHipAngle"": 164.06502500125998, ""leftKneeAngle"": 179.88360768694312, ""rightHipAngle"": 169.77816250291136, ""leftElbowAngle"": 175.2649210654742, ""rightKneeAngle"": 176.1252924877206, ""rightElbowAngle"": 161.80386630042798, ""leftShoulderAngle"": 26.20149061162676, ""rightShoulderAngle"": 23.717280549752793}"
"Lateral Raise","{""leftHipAngle"": 164.90527836257365, ""leftKneeAngle"": 175.34253083310426, ""rightHipAngle"": 171.81913995442116, ""leftElbowAngle"": 178.1331444684471, ""rightKneeAngle"": 177.2828975176578, ""rightElbowAngle"": 175.91412135128604, ""leftShoulderAngle"": 33.48147791179932, ""rightShoulderAngle"": 32.3592829215604}"
"Lateral Raise","{""leftHipAngle"": 168.10625677905156, ""leftKneeAngle"": 177.7883337501441, ""rightHipAngle"": 169.80863580813173, ""leftElbowAngle"": 175.03332520733406, ""rightKneeAngle"": 177.085783348962, ""rightElbowAngle"": 179.46746609506738, ""leftShoulderAngle"": 22.010511005665272, ""rightShoulderAngle"": 26.994034186258684}"
"Lateral Raise","{""leftHipAngle"": 167.3148625071269, ""leftKneeAngle"": 175.77091386634083, ""rightHipAngle"": 168.2897754188658, ""leftElbowAngle"": 176.23474089973223, ""rightKneeAngle"": 179.11925312168825, ""rightElbowAngle"": 179.34150466819133, ""leftShoulderAngle"": 25.942107672663248, ""rightShoulderAngle"": 26.456756979164247}"
"Lateral Raise","{""leftHipAngle"": 163.23934279161116, ""leftKneeAngle"": 175.79902522930743, ""rightHipAngle"": 169.7967837711869, ""leftElbowAngle"": 176.68241535362867, ""rightKneeAngle"": 169.11136262215294, ""rightElbowAngle"": 167.84628855781267, ""leftShoulderAngle"": 33.858190818485326, ""rightShoulderAngle"": 25.005287288432775}"
"Lateral Raise","{""leftHipAngle"": 165.29047605239066, ""leftKneeAngle"": 176.23134711784456, ""rightHipAngle"": 161.06226139945858, ""leftElbowAngle"": 176.53710179246465, ""rightKneeAngle"": 177.34930388008726, ""rightElbowAngle"": 167.786684825851, ""leftShoulderAngle"": 23.157605549250487, ""rightShoulderAngle"": 26.527998042697547}"
"Lateral Raise","{""leftHipAngle"": 163.09671225949575, ""leftKneeAngle"": 178.68051392415785, ""rightHipAngle"": 165.51793897951998, ""leftElbowAngle"": 168.81787810321543, ""rightKneeAngle"": 177.8209239497363, ""rightElbowAngle"": 174.53500433607846, ""leftShoulderAngle"": 22.369197395522995, ""rightShoulderAngle"": 31.07244952550102}"
"Lateral Raise","{""leftHipAngle"": 159.13494012047906, ""leftKneeAngle"": 179.17181948794018, ""rightHipAngle"": 161.42297704627063, ""leftElbowAngle"": 170.2095810160984, ""rightKneeAngle"": 167.13702078306005, ""rightElbowAngle"": 169.2123349539298, ""leftShoulderAngle"": 32.19885923500367, ""rightShoulderAngle"": 23.077575228108294}"
"Lateral Raise","{""leftHipAngle"": 162.7813579328682, ""leftKneeAngle"": 173.9466977628136, ""rightHipAngle"": 159.0376469881046, ""leftElbowAngle"": 147.15236970908296, ""rightKneeAngle"": 167.89582458560173, ""rightElbowAngle"": 119.5099228357796, ""leftShoulderAngle"": 26.755233777806016, ""rightShoulderAngle"": 39.29888947241737}"
"Lateral Raise","{""leftHipAngle"": 163.7268907653796, ""leftKneeAngle"": 175.09852123077923, ""rightHipAngle"": 162.4729250828954, ""leftElbowAngle"": 77.04763885144365, ""rightKneeAngle"": 175.29953055541768, ""rightElbowAngle"": 54.36932927931626, ""leftShoulderAngle"": 27.05058845632084, ""rightShoulderAngle"": 31.43055327153936}"
"Lateral Raise","{""leftHipAngle"": 160.85952875663747, ""leftKneeAngle"": 177.97018774278158, ""rightHipAngle"": 162.6395252178386, ""leftElbowAngle"": 73.62617159683265, ""rightKneeAngle"": 174.38233493819433, ""rightElbowAngle"": 63.35342845116361, ""leftShoulderAngle"": 33.482992332673504, ""rightShoulderAngle"": 29.222178770875924}"
"Lateral Raise","{""leftHipAngle"": 159.35849747921202, ""leftKneeAngle"": 178.9961700346804, ""rightHipAngle"": 162.73657502061295, ""leftElbowAngle"": 69.87949236175211, ""rightKneeAngle"": 171.78675025475863, ""rightElbowAngle"": 57.21187381423874, ""leftShoulderAngle"": 44.654739793745264, ""rightShoulderAngle"": 47.05537062831732}"
"Lateral Raise","{""leftHipAngle"": 159.67202526787966, ""leftKneeAngle"": 178.52378879950268, ""rightHipAngle"": 164.04640305988906, ""leftElbowAngle"": 159.82215853370798, ""rightKneeAngle"": 172.41575650265395, ""rightElbowAngle"": 162.04892232571194, ""leftShoulderAngle"": 86.02870735165556, ""rightShoulderAngle"": 85.99394012728386}"
"Lateral Raise","{""leftHipAngle"": 154.14117983897316, ""leftKneeAngle"": 178.0550528076836, ""rightHipAngle"": 165.4267435922201, ""leftElbowAngle"": 145.46404861291, ""rightKneeAngle"": 169.86468416270228, ""rightElbowAngle"": 156.51174993489724, ""leftShoulderAngle"": 91.47808539224148, ""rightShoulderAngle"": 94.64153477124884}"
"Lateral Raise","{""leftHipAngle"": 157.32150810992184, ""leftKneeAngle"": 176.15668235124798, ""rightHipAngle"": 164.8696147695884, ""leftElbowAngle"": 149.2397966530753, ""rightKneeAngle"": 175.60928108792558, ""rightElbowAngle"": 158.3121650410785, ""leftShoulderAngle"": 90.49623500649854, ""rightShoulderAngle"": 91.68415817775924}"
"Lateral Raise","{""leftHipAngle"": 155.6191955601092, ""leftKneeAngle"": 174.87630598993508, ""rightHipAngle"": 164.53012188555235, ""leftElbowAngle"": 126.00600972648792, ""rightKneeAngle"": 170.7524076625925, ""rightElbowAngle"": 152.99361655388026, ""leftShoulderAngle"": 66.51772898874036, ""rightShoulderAngle"": 71.50973277194922}"
"Lateral Raise","{""leftHipAngle"": 155.4112029390084, ""leftKneeAngle"": 174.7687558818776, ""rightHipAngle"": 160.40349534713584, ""leftElbowAngle"": 23.739131938111075, ""rightKneeAngle"": 171.80632315320486, ""rightElbowAngle"": 18.929990571652706, ""leftShoulderAngle"": 33.4225572096069, ""rightShoulderAngle"": 45.39266369791616}"
"Lateral Raise","{""leftHipAngle"": 155.15845650493955, ""leftKneeAngle"": 178.95757138028316, ""rightHipAngle"": 159.03511276641098, ""leftElbowAngle"": 90.80351337806644, ""rightKneeAngle"": 170.85980533040333, ""rightElbowAngle"": 79.59318497939877, ""leftShoulderAngle"": 17.04460309507476, ""rightShoulderAngle"": 27.1549096046925}"
"Lateral Raise","{""leftHipAngle"": 156.26461041429712, ""leftKneeAngle"": 178.3653374182361, ""rightHipAngle"": 155.34630288934565, ""leftElbowAngle"": 85.55309780684458, ""rightKneeAngle"": 168.00407874344606, ""rightElbowAngle"": 82.87643935382184, ""leftShoulderAngle"": 16.81547727064911, ""rightShoulderAngle"": 24.008131355169677}"
"Lateral Raise","{""leftHipAngle"": 154.04859439144963, ""leftKneeAngle"": 178.92299494099078, ""rightHipAngle"": 161.35693425782355, ""leftElbowAngle"": 88.38560025416211, ""rightKneeAngle"": 170.22625378709424, ""rightElbowAngle"": 87.5316540174785, ""leftShoulderAngle"": 36.66805964062681, ""rightShoulderAngle"": 33.67308007839637}"
"Lateral Raise","{""leftHipAngle"": 153.2610591082173, ""leftKneeAngle"": 174.8756465237164, ""rightHipAngle"": 164.18955812893174, ""leftElbowAngle"": 162.46007781520896, ""rightKneeAngle"": 173.13670930717663, ""rightElbowAngle"": 172.33701294882334, ""leftShoulderAngle"": 69.65508967566015, ""rightShoulderAngle"": 68.73542509914341}"
"Lateral Raise","{""leftHipAngle"": 156.08613225817044, ""leftKneeAngle"": 179.56555670473074, ""rightHipAngle"": 164.84128602261814, ""leftElbowAngle"": 157.94389863699038, ""rightKneeAngle"": 172.7581215678421, ""rightElbowAngle"": 165.94161414303352, ""leftShoulderAngle"": 91.60855549487864, ""rightShoulderAngle"": 86.39494641980427}"
"Lateral Raise","{""leftHipAngle"": 154.7692914590613, ""leftKneeAngle"": 178.0552517409676, ""rightHipAngle"": 165.87145900177143, ""leftElbowAngle"": 141.71533268652698, ""rightKneeAngle"": 178.63129540427255, ""rightElbowAngle"": 162.8232199665236, ""leftShoulderAngle"": 95.54276597124064, ""rightShoulderAngle"": 94.56709580336148}"
"Lateral Raise","{""leftHipAngle"": 156.73233127920432, ""leftKneeAngle"": 177.0368807784207, ""rightHipAngle"": 163.88131356671056, ""leftElbowAngle"": 141.50078379555066, ""rightKneeAngle"": 175.83541718547465, ""rightElbowAngle"": 159.7388679673336, ""leftShoulderAngle"": 94.56024934849457, ""rightShoulderAngle"": 92.43402107994754}"
"Lateral Raise","{""leftHipAngle"": 154.35027643297894, ""leftKneeAngle"": 179.03431496317523, ""rightHipAngle"": 165.27552092672357, ""leftElbowAngle"": 158.91729861428152, ""rightKneeAngle"": 172.15924827516292, ""rightElbowAngle"": 159.5012222771564, ""leftShoulderAngle"": 84.54484880980075, ""rightShoulderAngle"": 79.66900008751021}"
"Lateral Raise","{""leftHipAngle"": 157.17729533567092, ""leftKneeAngle"": 178.38386160364203, ""rightHipAngle"": 166.42140594450646, ""leftElbowAngle"": 142.97208370096808, ""rightKneeAngle"": 175.01694283335385, ""rightElbowAngle"": 157.70809850662317, ""leftShoulderAngle"": 57.712366475998635, ""rightShoulderAngle"": 56.525999714189446}"
"Lateral Raise","{""leftHipAngle"": 154.19095817958063, ""leftKneeAngle"": 172.66090711046476, ""rightHipAngle"": 164.86659796275046, ""leftElbowAngle"": 158.5331002302114, ""rightKneeAngle"": 176.51928079813345, ""rightElbowAngle"": 169.03780192005178, ""leftShoulderAngle"": 29.839514548855927, ""rightShoulderAngle"": 34.56562106535943}"
"Lateral Raise","{""leftHipAngle"": 154.96802762512004, ""leftKneeAngle"": 178.33640505546657, ""rightHipAngle"": 158.43029497246985, ""leftElbowAngle"": 118.07450631087454, ""rightKneeAngle"": 171.07123622097927, ""rightElbowAngle"": 102.8879009518182, ""leftShoulderAngle"": 15.664323615805728, ""rightShoulderAngle"": 22.45356330770011}"
